model,graph_seed,nodes,edges,avg_degree,pagerank_std,pagerank_max,pagerank_gini,degree_std,degree_pagerank_corr,pca_var_pc1,pca_var_pc2,num_clusters
ER,0,500,1495,5.98,0.0006681968924417339,0.004393056495191824,0.18776588536459782,2.4222581756160255,0.9937615943504636,0.7857354714413319,0.14268837977978288,6
WS,0,500,1500,6.0,0.00029760876023647044,0.0030893904757281665,0.0823942866223486,1.0743875544860286,0.9912012187914869,0.724937820171622,0.21200874937423622,6
BA,0,500,1491,5.964,0.0018835065373791367,0.021661948064902924,0.32569969018704503,6.568789995425947,0.9994630186946888,0.7558048518188119,0.15900606289660066,5
ER,1,500,1521,6.084,0.0006706928911903061,0.004290604052263404,0.1887214374141981,2.4488646095183584,0.9944732974737066,0.7695925638460861,0.14422354549771244,6
WS,1,500,1500,6.0,0.00027770609037928534,0.0028637405471438017,0.0765738703142631,1.0069896007964652,0.990490195257198,0.738491077618502,0.20007194517881974,5
BA,1,500,1491,5.964,0.0017325898252103175,0.01922001777944903,0.3205481793992764,6.053428118344839,0.9992989574694472,0.7613135294087696,0.15710741378390242,4
ER,2,500,1517,6.068,0.0006725269762293461,0.004675278188501202,0.18718535224658206,2.4436281708301184,0.995738076680946,0.8107762320329331,0.1433439668582628,6
WS,2,500,1500,6.0,0.00028246630205092793,0.003136612438037619,0.07704286140777827,1.0286477689009634,0.9905708069404738,0.7442619022680264,0.19995034140967693,5
BA,2,500,1491,5.964,0.0018651043327149004,0.01830068417866,0.32605555430869004,6.464230546097982,0.999483772688219,0.7623848899663774,0.15473001128644298,5
ER,3,500,1588,6.352,0.0006394257555446831,0.004547401651471964,0.17870458335023054,2.447053768164602,0.9947593604978906,0.8139340973014837,0.14229032510353362,6
WS,3,500,1500,6.0,0.0003139455863801297,0.003116548036609937,0.08652576233877829,1.1289592987333037,0.992784104209528,0.7553250005689829,0.17698971811782635,6
BA,3,500,1491,5.964,0.0018460405549238336,0.019278907696465217,0.3182292990302895,6.452749798335578,0.9994825180930682,0.75370470137203,0.1563135418688329,5
ER,4,500,1467,5.868,0.0006657187049024762,0.005006908985165151,0.1850806555607134,2.3275332052719007,0.9941960004726443,0.7735975852009362,0.14239638285836695,6
WS,4,500,1500,6.0,0.00027716105995477557,0.003211980086412769,0.07518173638400039,0.9949773665364653,0.9915784497932274,0.7292175899009958,0.20713002589241228,6
BA,4,500,1491,5.964,0.0017629812902387515,0.01652855257448446,0.3190823131535734,6.13595990925756,0.9994590309866257,0.767431845624217,0.15361146472980777,6
ER,5,500,1540,6.16,0.0006810411067391955,0.004298499791946613,0.19292179017628985,2.528078789264579,0.994141323425528,0.7989496599635915,0.1429363746910873,6
WS,5,500,1500,6.0,0.000287369479734913,0.0028399868540954975,0.0797089337619985,1.0421959243296717,0.990555667515612,0.7461031346267419,0.1907999741625498,5
BA,5,500,1491,5.964,0.0018730237686960538,0.01965354421421768,0.32984472795694497,6.478784863430273,0.9995762669200589,0.7628819720291514,0.15327778725578897,4
ER,6,500,1491,5.964,0.000634651489468029,0.00411237300567243,0.1785601903113061,2.292862498466436,0.9947900681918581,0.7783151536518261,0.1430582698171563,6
WS,6,500,1500,6.0,0.00026709108472141636,0.002819553507845933,0.07380499577104627,0.9787317465288058,0.9891796523807752,0.7336536793649168,0.19671337457674926,5
BA,6,500,1491,5.964,0.0017085853889601977,0.014703305145326594,0.3200116271156175,5.937441403571212,0.9993059057604512,0.7745293446653475,0.1499863744844592,5
ER,7,500,1525,6.1,0.000685057732542059,0.005125456936128903,0.19037663982911135,2.483210153275526,0.9960635722837538,0.7922332545721334,0.14334926779104804,6
WS,7,500,1500,6.0,0.00028750543039878727,0.0030338117149622365,0.07989230784707879,1.0479486594225746,0.99148409734437,0.741113130850488,0.1956982567925639,6
BA,7,500,1491,5.964,0.001950913625275892,0.024848087767221225,0.32541062110587404,6.78784602855831,0.9995204985709766,0.7461549345025901,0.16521277702484483,6
