model,graph_seed,delta_final_targeted_vs_random,delta_final_targeted_vs_none,delta_t50_targeted_vs_random,delta_auc_targeted_vs_random
BA,0,-0.5786666666666667,-0.5863851851851851,9.066666666666668,-8.599111111111112
BA,1,-0.6297777777777778,-0.6315851851851852,10.241666666666667,-10.10925925925926
BA,2,-0.6318518518518519,-0.6338666666666667,8.466666666666667,-9.816518518518517
BA,3,-0.698962962962963,-0.7017925925925925,9.733333333333333,-10.168592592592592
BA,4,-0.7502222222222222,-0.7511407407407408,10.466666666666667,-10.686814814814815
BA,5,-0.6725925925925926,-0.6745925925925925,9.133333333333333,-9.351407407407407
BA,6,-0.6434074074074073,-0.6434814814814814,10.666666666666666,-9.951629629629629
BA,7,-0.6277037037037037,-0.6284888888888889,9.8,-10.140074074074073
ER,0,-0.04281481481481475,-0.046222222222222276,2.0666666666666664,-2.320814814814815
ER,1,-0.0637037037037037,-0.06743703703703696,1.7333333333333325,-2.368444444444445
ER,2,-0.033925925925925915,-0.037555555555555564,2.5999999999999996,-2.5172592592592595
ER,3,-0.013777777777777667,-0.016325925925925855,1.5999999999999996,-1.5501481481481498
ER,4,0.0318518518518518,-0.042251851851851874,2.185714285714287,-1.6022962962962977
ER,5,0.11377777777777787,0.04521481481481482,1.5743589743589759,-0.3549629629629667
ER,6,-0.07777777777777772,-0.0875555555555555,1.6047619047619044,-2.1606666666666667
ER,7,-0.021925925925925904,0.037762962962963,3.133333333333333,-2.767555555555555
WS,0,-0.10459259259259268,-0.13626666666666665,2.4000000000000004,-2.069333333333333
WS,1,-0.1379259259259259,-0.16263703703703702,2.1999999999999993,-1.8340000000000005
WS,2,-0.20799999999999996,-0.23951111111111112,2.2512820512820504,-2.185185185185185
WS,3,-0.10251851851851856,-0.1200444444444444,2.0666666666666664,-1.832148148148149
WS,4,-0.16888888888888887,-0.1975111111111112,2.3047619047619055,-2.1995555555555564
WS,5,-0.06785185185185183,-0.08074074074074078,1.5999999999999996,-1.6118518518518528
WS,6,-0.12503703703703706,-0.1393037037037037,2.2666666666666657,-2.0623703703703704
WS,7,-0.14814814814814825,-0.1558222222222223,3.333333333333334,-2.7567407407407405
